e_E,p_RU,p_RD,p_SR,p_NR
0.03943723740174307,0.0,0.0,0.0,0.0
3.6282248250036324e-08,0.0,0.0,0.0,0.0
3.431305535665487e-08,0.0,0.0,0.0,0.0
1.7331225162682624e-08,0.0,1.0706495950846897e-08,0.0,0.0
3.4276569617799066e-08,0.0,0.0,0.0,0.0
3.431221401293718e-08,0.0,0.0,0.0,0.0
0.0,0.0,3.292148532487613e-08,0.0,0.0
2.0762288176241527e-08,0.0,7.0775475067798364e-09,0.0,0.0
3.5364040835174735e-08,0.0,0.0,0.0,0.0
3.777348102799781e-08,0.0,0.0,0.0,0.0
3.6736935658575014e-08,0.0,0.0,0.0,0.0
3.795318102436046e-08,0.0,0.0,0.0,0.0
0.008296064862598415,0.0,0.0,0.0,0.0
0.09212839286419934,0.0,0.0,0.0,0.0
0.0921283928407298,0.0,0.0,0.0,0.0
0.03943723378072563,0.0,0.0,0.0,0.0
0.16881318753961366,0.0,0.0,0.0,0.0
0.16881318828149983,0.0,0.0,0.0,0.0
3.7084456531875357e-08,0.0,0.0,0.0,0.0
3.6863593207056666e-08,0.0,0.0,0.0,0.0
0.008296064847599796,0.0,0.0,0.0,0.0
0.008296065098506129,0.0,0.0,0.0,0.0
3.5747757287651094e-08,0.0,0.0,0.0,0.0
3.762377113901254e-08,0.0,0.0,0.0,0.0
3.806827076252853e-08,0.0,0.0,0.0,0.0
0.00829606253687862,0.0,0.0,0.0,0.0
0.0,0.0,3.473502167059842e-08,0.0,0.0
8.393817013402467e-09,0.0,1.922156373716546e-08,0.0,0.0
0.008296051995102928,0.0,3.5453639156046074e-09,0.0,0.0
0.0,0.0,2.7974651414352016e-08,0.0,0.0
0.0,0.0,3.512429262934747e-08,0.0,0.0
0.0,0.0,3.3230180908594784e-08,0.0,0.0
0.00829605748156433,0.0,0.0,0.0,0.0
3.782450554043438e-08,0.0,0.0,0.0,0.0
0.008296065523269416,0.0,0.0,0.0,0.0
3.7700747583303015e-08,0.0,0.0,0.0,0.0
0.0,3.461809157610913e-08,0.0,0.0,0.0
3.785116851180879e-08,0.0,0.0,0.0,0.0
0.2661983768960523,0.0,0.0,0.0,0.0
0.16881318840064463,0.0,0.0,0.0,0.0
0.26619837609904734,0.0,0.0,0.0,0.0
0.1688131884364549,0.0,0.0,0.0,0.0
0.03943723603675997,0.0,0.0,0.0,0.0
3.666070899156267e-08,0.0,0.0,0.0,0.0
3.631154505296161e-08,0.0,0.0,0.0,0.0
3.7413923517475256e-08,0.0,0.0,0.0,0.0
3.1224104938892726e-08,0.0,0.0,0.0,0.0
3.728778739068189e-08,0.0,0.0,0.0,0.0
3.8436795008258564e-08,0.0,0.0,0.0,0.0
3.667289896385719e-08,0.0,0.0,0.0,0.0
3.455091138377047e-08,0.0,0.0,0.0,0.0
3.233099481521483e-08,0.0,0.0,0.0,0.0
3.632968008113215e-08,0.0,0.0,0.0,0.0
3.441212615460359e-08,0.0,0.0,0.0,0.0
3.293312130267276e-08,0.0,0.0,0.0,0.0
3.483938432955397e-08,0.0,0.0,0.0,0.0
3.091563411197323e-08,0.0,0.0,0.0,0.0
3.608730639525865e-08,0.0,0.0,0.0,0.0
0.00829606634717795,0.0,0.0,0.0,0.0
3.772252966718674e-08,0.0,0.0,0.0,0.0
3.6136979540999935e-08,0.0,0.0,0.0,0.0
0.38854937430409286,0.0,0.0,0.0,0.0
0.2661983753122893,0.0,0.0,0.0,0.0
0.0394372361630005,0.0,0.0,0.0,0.0
0.09212839223194119,0.0,0.0,0.0,0.0
0.03943723612452851,0.0,0.0,0.0,0.0
0.03943723615145452,0.0,0.0,0.0,0.0
3.701522095613773e-08,0.0,0.0,0.0,0.0
0.03943723621065028,0.0,0.0,0.0,0.0
3.733438302754752e-08,0.0,0.0,0.0,0.0
